Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
,,,,,,,192,99.26118393,86.00378745,96.10489877,29.8951899,5.251688491
,,,,,,,193,94.88997602,81.36824652,93.39644977,32.28616494,5.671711114
,,,,,,,194,97.04423494,80.24903976,92.21938546,31.70042407,5.568814006
,,,,,,,195,95.24332008,80.14231834,88.53205134,31.27152091,5.493468582
,,,,,,,196,94.37705723,78.53602405,91.51975284,31.88926948,5.601988483
,,,,,,,197,93.43385657,81.15206722,92.19536373,32.60304115,5.727376763
,,,,,,,198,94.90992287,86.54286747,96.93364813,33.60488209,5.903370178
,,,,,,,199,100.6489142,94.75494441,101.6118782,33.49605592,5.884252683
,,,,,,,200,107.5590701,103.3419146,103.1883036,34.04658833,5.980964719
,,,,,,,201,111.1438025,105.1069228,102.3985896,34.5267038,6.065306611
,,,,,,,202,109.5081615,108.4234963,100.876213,33.96016754,5.965783179
,,,,,,,203,112.2836221,108.4125505,98.65420387,34.36666531,6.037192647
,,,,,,,204,111.1495016,106.9649702,99.696146,33.57607517,5.898309665
,,,,,,,205,108.7872257,103.4431631,100.4648411,32.8943112,5.778544178
,,,,,,,206,107.6274593,100.0061859,100.0114311,31.10508088,5.464230059
,,,,,,,207,107.231372,99.32481062,98.08068529,30.63136695,5.381012726
,,,,,,,208,105.9148804,99.61761043,101.1464574,32.75347733,5.753803889
,,,,,,,209,108.0149979,100.9365778,98.54310341,35.33009701,6.206438711
,,,,,,,210,106.7526478,101.0350899,97.26995222,41.57799966,7.304007869
,,,,,,,211,112.7993904,106.4094715,106.0108558,42.15733899,7.405780419
,,,,,,,212,115.8455581,105.8649185,105.8637228,40.81301568,7.169623121
,,,,,,,213,110.6992729,100.178582,104.2182349,38.33882062,6.734981236
,,,,,,,214,106.1713398,95.51567663,102.5997715,35.02282311,6.1524599
,,,,,,,215,104.9802284,90.32463699,99.3178039,32.57103345,5.72175397
,,,,,,,216,101.2444699,86.64411601,96.78651509,31.8764664,5.599739366
,,,,,,,217,93.26003409,82.86781938,94.15913939,32.35978264,5.684643538
,,,,,,,218,95.25756782,81.77324065,92.42357008,31.95328488,5.613234069
,,,,,,,219,93.47090071,81.91827233,89.32176541,31.49877557,5.533390411
,,,,,,,220,92.60463786,80.27366778,86.52323495,31.57559404,5.546885114
,,,,,,,221,91.64718946,82.76657085,91.29755193,32.11972491,5.642472592
,,,,,,,222,93.05771613,88.23946451,93.93693848,33.51526054,5.887626358
