juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
Nevada,2016,,,,953,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,955,,,,https://afdc.energy.gov/stations/states,,,
Nevada,2017,,,,1068,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,955,,,,https://afdc.energy.gov/stations/states,,,
Nevada,2018,,,,2325,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,955,,,,https://afdc.energy.gov/stations/states,,,
Nevada,2019,,,,,,,,,955,,,,https://afdc.energy.gov/stations/states,,,
New Hampshire,2016,,,,482,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,256,,,,https://afdc.energy.gov/stations/states,,,
New Hampshire,2017,,,,788,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,256,,,,https://afdc.energy.gov/stations/states,,,
New Hampshire,2018,,,,1123,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,256,,,,https://afdc.energy.gov/stations/states,,,
New Hampshire,2019,,,,,,,,,256,,,,https://afdc.energy.gov/stations/states,,,
New Jersey,2016,,,,3980,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1316,,,,https://afdc.energy.gov/stations/states,,,
New Jersey,2017,,,,5033,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1316,,,,https://afdc.energy.gov/stations/states,,,
New Jersey,2018,,,,9230,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1316,,,,https://afdc.energy.gov/stations/states,,,
New Jersey,2019,,,,,,,,,1316,,,,https://afdc.energy.gov/stations/states,,,
New Mexico,2016,,,,254,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,255,,,,https://afdc.energy.gov/stations/states,,,
New Mexico,2017,,,,369,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,255,,,,https://afdc.energy.gov/stations/states,,,
New Mexico,2018,,,,705,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,255,,,,https://afdc.energy.gov/stations/states,,,
New Mexico,2019,,,,,,,,,255,,,,https://afdc.energy.gov/stations/states,,,
New York,2016,,,,6043,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4602,,,,https://afdc.energy.gov/stations/states,,,
New York,2017,,,,10090,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4602,,,,https://afdc.energy.gov/stations/states,,,
New York,2018,,,,15752,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4602,,,,https://afdc.energy.gov/stations/states,,,
New York,2019,,,,,,,,,4602,,,,https://afdc.energy.gov/stations/states,,,
North Carolina,2016,,,,1670,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1924,,,,https://afdc.energy.gov/stations/states,,,
North Carolina,2017,,,,2055,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1924,,,,https://afdc.energy.gov/stations/states,,,
North Carolina,2018,,,,4712,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1924,,,,https://afdc.energy.gov/stations/states,,,
North Carolina,2019,,,,,,,,,1924,,,,https://afdc.energy.gov/stations/states,,,
North Dakota,2016,,,,40,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,46,,,,https://afdc.energy.gov/stations/states,,,
North Dakota,2017,,,,39,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,46,,,,https://afdc.energy.gov/stations/states,,,
North Dakota,2018,,,,95,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,46,,,,https://afdc.energy.gov/stations/states,,,
North Dakota,2019,,,,,,,,,46,,,,https://afdc.energy.gov/stations/states,,,
Norway,2014,65000,,,,IEA 2019,,,,5000,200,,,IEA 2019,IEA 2019,,
Norway,2015,69000,,,,IEA 2019,,,,6000,300,,,IEA 2019,IEA 2019,,
Norway,2016,114000,,,,IEA 2019,,,,8000,500,,,IEA 2019,IEA 2019,,
Norway,2017,176000,,,,IEA 2019,,,,9000,900,,,IEA 2019,IEA 2019,,
Norway,2018,249000,,,,IEA 2019,,,,12000,1200,,,IEA 2019,IEA 2019,,
Ohio,2016,,,,1630,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1462,,,,https://afdc.energy.gov/stations/states,,,
Ohio,2017,,,,2091,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1462,,,,https://afdc.energy.gov/stations/states,,,
Ohio,2018,,,,4456,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1462,,,,https://afdc.energy.gov/stations/states,,,
Ohio,2019,,,,,,,,,1462,,,,https://afdc.energy.gov/stations/states,,,
Oklahoma,2016,,,,263,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,308,,,,https://afdc.energy.gov/stations/states,,,
Oklahoma,2017,,,,691,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,308,,,,https://afdc.energy.gov/stations/states,,,
Oklahoma,2018,,,,2683,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,308,,,,https://afdc.energy.gov/stations/states,,,
Oklahoma,2019,,,,,,,,,308,,,,https://afdc.energy.gov/stations/states,,,
Oregon,2016,,,,3486,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1895,,,,https://afdc.energy.gov/stations/states,,,
Oregon,2017,,,,3988,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1895,,,,https://afdc.energy.gov/stations/states,,,
